filter_name;lab;shelf;name_en;name_it;weight;unit;producer;quantity;code;cas;sds;sds_link
C;1.12;1;ACTIVATED CHARCOAL NORIT;CARBONE ATTIVO NORIT;1;kg;SIGMA-ALDRICH;1;97876;7440-44-0;https://www.sigmaaldrich.com/IT/en/sds/sigald/97876;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/97876)
G;1.12;1;D(+)-GLUCOSE;D(+)-GLUCOSIO;1;kg;PROLABO;1;24 370.294;50-99-07;;[SDS]()
S;1.12;1;D(+)-SUCROSE;D(+)-SACCAROSIO;250;g;FLUKA;1;84100;57-50-1;https://www.sigmaaldrich.com/IT/en/sds/sial/84100;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/84100)
F;1.12;1;D-FRUCTOSE;FRUTTOSIO;100;g;SIGMA-ALDRICH;1;F0127;57-48-7;https://www.sigmaaldrich.com/IT/en/sds/sigma/f0127;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/f0127)
P;1.12;1;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;250;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/sial/383376;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/383376)
P;1.12;1;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;100;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/sial/383376;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/383376)
P;1.12;1;POTASSIUM CARBONATE;;1;kg;SIGMA-ALDRICH;1;209619-1KG;;https://www.sigmaaldrich.com/IT/en/sds/sigald/209619;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/209619)
P;1.12;1;POTASSIUM CHLORIDE ;POTASSIO CLORURO;500;g;SIGMA-ALDRICH;1;;7447-40-6;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9541;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/p9541)
P;1.12;1;POTASSIUM CHLORIDE ;POTASSIO CLORURO;1;kg;VWR;1;26760.295;7447-40-7;https://it.vwr.com/assetsvc/asset/en_GB/id/7669603/contents/7669603.pdf;[SDS](https://it.vwr.com/assetsvc/asset/en_GB/id/7669603/contents/7669603.pdf)
P;1.12;1;POTASSIUM DISULFITE;;500;g;SIGMA-ALDRICH;1;P2522;;https://www.sigmaaldrich.com/IT/en/sds/sigald/p2522;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/p2522)
P;1.12;1;POTASSIUM IODIDE;POTASSIO IODURO;100;g;SIGMA-ALDRICH;2;60400-100G-F;7681-11-0;https://www.sigmaaldrich.com/IT/en/sds/sigald/221945;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/221945)
P;1.12;1;POTASSIUM NITRATE;POTASSIO NITRATO;500;g;SIGMA-ALDRICH;1;P6030-500G;7757-79-1;https://www.sigmaaldrich.com/IT/en/sds/sigma/p6030;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/p6030)
P;1.12;1;POTASSIUM PHOSPHATE DIBASIC;POTASSIO FOSFATO BIBASICO;500;g;SIGMA-ALDRICH;1;P8281;77558-11-4;https://www.sigmaaldrich.com/IT/en/sds/sial/p8281;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/p8281)
P;1.12;1;POTASSIUM PHOSPHATE MONOBASIC;POTASSIO FOSFATO MONOBASICO;1;kg;SIGMA-ALDRICH;1;P5655-500G;7778-77-0;https://www.sigmaaldrich.com/IT/en/sds/sigma/p5655;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/p5655)
S;1.12;1;STARCH;AMIDO;100;g;SIGMA-ALDRICH;1;S9765;;https://www.sigmaaldrich.com/IT/en/sds/sial/s9765;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/s9765)
S;1.12;1;SUCROSE;;1;kg;FLUKA;1;84100-1kg;;https://www.sigmaaldrich.com/IT/en/sds/sial/84100;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/84100)
S;1.12;2;SODIUM ACETATE TRIHYDRATE bioxtra;;250;g;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/sial/s7670;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/s7670)
S;1.12;2;SODIUM BICARBONATE;;500;g;SIGMA-ALDRICH;1;S5761-500G;;https://www.sigmaaldrich.com/IT/en/sds/sigma/s5761;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/s5761)
S;1.12;2;SODIUM BISULFITE ACS reagent;SODIO BISOLFATO (IDROGENOSOLFATO);100;g;SIGMA-ALDRICH;1;243973;none;https://www.sigmaaldrich.com/IT/en/sds/sigald/243973;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigald/243973)
S;1.12;2;SODIUM BOROHYDRIDE;SODIO BOROIDRURO;25;g;SIGMA-ALDRICH;1;71320-25G;16940-66-2;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71320;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/71320)
S;1.12;2;SODIUM CARBONATE;SODIO CARBONATO;500;g;SIGMA-ALDRICH;1;S7795-500G;497-19-8;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/s7795)
S;1.12;2;SODIUM CARBONATE BIOEXTRA 99%;;1;kg;SIGMA ALDRICH;1;S7795-1KG;;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/s7795)
