lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
E1.12;P;;1-PROPANOL;1;L;ACROS ORGANICS;1;445770010;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR44577~~PDF~~MTR~~CLP1~~EE~~2022-12-16%2004:41:52~~1-Propanol~~
E1.12;T;;2,2,4 TRIMETHYLPENTHANE;1;L;SIGMA-ALDRICH;1;650439;https://www.sigmaaldrich.com/IT/en/sds/sigald/650439
E1.12;D;;2,6-DIBROMO-N-CHLORO-p-BENZOQUINONEIMINE;5;g;ACROS ORGANICS;1;406470050;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR40647~~PDF~~MTR~~CLP1~~EN~~2020-12-21%2023:02:15~~2%206-Dibromo-N-chloro-p-benzoquinoneimine~~
E1.12;D;;2,6-DICHLOROINDOPHENOL SODIUM SALT HYDRATE;5;g;SIGMA ALDRICH;3;D1878-5G;https://www.sigmaaldrich.com/IT/en/sds/sigma/d1878
E1.12;D;;2',7'-DICHLOROFLURESCEIN;1;g;SIGMA ALDRICH;1;410217;https://www.sigmaaldrich.com/IT/en/sds/sial/410217
E1.12;P;;2-PROPANOL;2,5;L;J.T.BAKER;1;8067;https://it.vwr.com/assetsvc/asset/en_GB/id/37719144/contents
E1.12;T;;2-THIOBARBITURIC ACID;25;g;SIGMA ALDRICH;1;T5500;https://www.sigmaaldrich.com/IT/en/sds/sial/t5500
E1.12;D;;3,5 DINITRO SALICYLIC ACID 98%;5;g;SIGMA ALDRICH;1;128848;https://www.sigmaaldrich.com/IT/en/sds/aldrich/128848
E1.12;D;;4,6-DIHYDROXY-2-MERCAPTOPYRIMIDINE;25;g;Alfa Aesar;1;A12681;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=A12681
E1.12;N;;4-NITROPHENOL;250;g;FLUKA;1;73560-25G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/241326
E1.12;D;;5,5-DITHIOBIS(2-NITROBENZOIC ACID);5;g;SIGMA-ALDRICH;1;D218200-5G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/d218200
E1.12;A;;ACETIC ACID GLACIAL;1;L;MERCK;2;1.000.631.011;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00063
E1.12;A;;ACETIC ACID GLACIAL;1;L;FLUKA;1;33209;https://lab.honeywell.com/sm/api/rc/documents/download/33209-1L-GL_SDS_GB_E?appId=76&catNo=33209-1L-GL&matnr=10192248&lang=E&country=GB&type=SDS
E1.12;A;;ACETONE;5;L;VWR;1;20.063.365;https://it.vwr.com/assetsvc/asset/en_GB/id/7468850/contents
E1.12;A;;ACETYLSALICYLIC ACID;500;g;SIGMA-ALDRICH;1;A5376-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/a5376
E1.12;A;;ACTIVATED CHARCOAL NORIT;1;kg;SIGMA-ALDRICH;1;97876;https://www.sigmaaldrich.com/IT/en/sds/sigald/97876
E1.12;A;;ALLURA RED;100;g;SIGMA-ALDRICH;1;458848-100G;https://www.sigmaaldrich.com/IT/en/sds/sial/458848
E1.12;A;;Alpha amylase;250;ml;ANKOM;4;FAA;https://www.ankom.com/sites/default/files/document-files/FAA_MSDS_ANKOM_2021.pdf
E1.12;A;;ALPHA AMYLASE;100;mL;NCBE;1;;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Termamyl120.pdf
E1.12;A;;ALUMINIUM NITRATE NONAHYDRATE;100;g;SIGMA-ALDRICH;1;237973-100G;https://www.sigmaaldrich.com/IT/en/sds/sigald/237973
E1.12;A;;ALUMINIUM TRI-SEC BUTYLATE FOR SYNTHESIS;250;g;SIGMA-ALDRICH;1;820.054;https://www.sigmaaldrich.com/IT/en/sds/mm/8.20054
E1.12;A;;AMBERLITE IR120 Na+ FORM;250;g;SIGMA-ALDRICH;1;224359-250G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/224359
E1.12;A;;AMBERLITE IRA-400;100;g;SIGMA-ALDRICH;1;247669-100G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/247669
E1.12;A;;AMMONIUM ACETATE;250;g;Fluka;1;9690;https://www.sigmaaldrich.com/IT/en/sds/mm/1.01116
E1.12;A;;AMMONIUM BUFFER SOLUTION;1;L;MERCK;2;1.094.781.000;https://www.sigmaaldrich.com/IT/en/sds/mm/1.09478
E1.12;A;;AMMONIUM CHLORIDE;500;g;SIGMA-ALDRICH;1;A9434-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/a9434
E1.12;A;;AMMONIUM MOLYBDATE TETRAHYDRATE;100;g;SIGMA-ALDRICH;2;09878-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/09878
E1.12;A;;AMMONIUM NITRATE 98+% ACS REAGENT;500;g;SIGMA ALDRICH;2;221244-500g;https://www.sigmaaldrich.com/IT/en/sds/sigald/221244
E1.12;A;;ASCORBIC ACID;500;g;SIGMA-ALDRICH;2;A92902;https://www.sigmaaldrich.com/IT/en/sds/sial/a92902
E1.12;A;;ASTRABLAU;10;g;ROTH;1;5165.1;https://www.carlroth.com/medias/SDB-5165-GB-EN.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDAxOTR8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oZmMvaGQ0LzkwNjkxNzQxOTQyMDYucGRmfDE1Y2ExNjIwMWUyMWY3YTJhNTk1MjExNDRiYzIwOTFlYjYxYTJiYzhmMGI5NzNhZjRhNjZhNDVkNzZhNTg5N2Q
E1.12;B;;BARIUM CHLORIDE;100;g;SIGMA-ALDRICH;1;202738;https://www.sigmaaldrich.com/IT/en/sds/aldrich/202738
E1.12;B;;BARIUM CHLORIDE DIHYDRATE;500;g;SIGMA ALDRICH;1;217565-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/217565
E1.12;B;;BARIUM CHLORIDE DIHYDRATE;500;g;VWR;2;21.716.266;https://it.vwr.com/assetsvc/asset/en_GB/id/7670093/contents
E1.12;B;;BARIUM HYDROXIDE, ANHYDROUS;100;g;Alfa Aesar;1;12195;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12195
E1.12;B;;BARIUM NITRATE, 99+%;500;g;Alfa Aesar;1;217581-500G;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=12194
E1.12;B;;BENEDICTS REAGENT;250;ml;SIGMA-ALDRICH;1;11945;https://www.sigmaaldrich.com/IT/en/sds/sial/11945
E1.12;B;;BENZOIC ACID ACS REAGENT;100;g;SIGMA ALDRICH;1;242381-100g;https://www.sigmaaldrich.com/IT/en/sds/sial/242381
E1.12;B;;BROMOPHENOL BLUE ;25;g;SIGMA ALDRICH;1;B0126-25G;https://www.sigmaaldrich.com/IT/en/sds/sial/b0126
E1.12;B;;BROMOTHYMOL BLUE ;5;g;MERCK;1;1.030.260.005;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03026
E1.12;B;;BUTYLATED HYDROXYTOLUENE;1;kg;SIGMA-ALDRICH;1;W218405;https://www.sigmaaldrich.com/IT/en/sds/usp/1082708
E1.12;C;;CALCIUM CARBONATE;1;kg;SIGMA-ALDRICH;1;C6763;https://www.sigmaaldrich.com/IT/en/sds/sigald/c6763
E1.12;C;;CALCIUM CHLORIDE DIHYDRATE;1;kg;MERCK;1;1.023.821.000;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02382
E1.12;C;;CALCIUM HYDROXIDE;500;g;SIGMA-ALDRICH;1;31219-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/239232
E1.12;C;;CALCIUM SULFATE;500;g;SIGMA-ALDRICH;1;237132-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/237132
E1.12;C;;CARMINIO ACETICO;150;ml;BioOptica;1;05-B13001;
